Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties;;
"Criticality at a Finite Strain Rate in Fluidized Soft Glassy Materials.,""/pubmed/31573292"",""Le Goff M, Bertin E, Martens K."",""Phys Rev Lett. 2019 Sep 6";"123(10):108003. doi: 10.1103/PhysRevLett.123.108003."",""Phys Rev Lett.  2019"",""PubMed"",""citation"",""PMID:31573292"",""pubmed"",""31573292"",""create date:2019/10/02 | first author:Le Goff M"",";
"Let's deflate that beach ball.,""/pubmed/31571019"",""Coupier G, Djellouli A, Quilliet C."",""Eur Phys J E Soft Matter. 2019 Sep 30";"42(9):129. doi: 10.1140/epje/i2019-11900-2."",""Eur Phys J E Soft Matter.  2019"",""PubMed"",""citation"",""PMID:31571019"",""pubmed"",""31571019"",""create date:2019/10/02 | first author:Coupier G"",";
"Neutron spin echo monitoring of segmental-like diffusion of water confined in the cores of carbon nanotubes.,""/pubmed/31535109"",""Parmentier A, Maccarini M, De Francesco A, Scaccia L, Rogati G, Czakkel O, De Luca F."",""Phys Chem Chem Phys. 2019 Oct 14";"21(38):21456-21463. doi: 10.1039/c9cp04248b. Epub 2019 Sep 19."",""Phys Chem Chem Phys.  2019"",""PubMed"",""citation"",""PMID:31535109"",""pubmed"",""31535109"",""create date:2019/09/20 | first author:Parmentier A"",";
"Modeling of Diffusion and Incorporation of Interstitial Oxygen Ions at the TiN/SiO(2) Interface.,""/pubmed/31532611"",""Cottom J, Bochkarev A, Olsson E, Patel K, Munde M, Spitaler J, Popov MN, Bosman M, Shluger AL."",""ACS Appl Mater Interfaces. 2019 Oct 2";"11(39):36232-36243. doi: 10.1021/acsami.9b10705. Epub 2019 Sep 18."",""ACS Appl Mater Interfaces.  2019"",""PubMed"",""citation"",""PMID:31532611"",""pubmed"",""31532611"",""create date:2019/09/19 | first author:Cottom J"",";
"Evolution of Magnetic Order from the Localized to the Itinerant Limit.,""/pubmed/31524473"",""Mazzone DG, Gauthier N, Maimone DT, Yadav R, Bartkowiak M, Gavilano JL, Raymond S, Pomjakushin V, Casati N, Revay Z, Lapertot G, Sibille R, Kenzelmann M."",""Phys Rev Lett. 2019 Aug 30";"123(9):097201. doi: 10.1103/PhysRevLett.123.097201."",""Phys Rev Lett.  2019"",""PubMed"",""citation"",""PMID:31524473"",""pubmed"",""31524473"",""create date:2019/09/17 | first author:Mazzone DG"",";
"Probing and Manipulating Valley Coherence of Dark Excitons in Monolayer WSe_{2}.,""/pubmed/31524465"",""Molas MR, Slobodeniuk AO, Kazimierczuk T, Nogajewski K, Bartos M, Kapuściński P, Oreszczuk K, Watanabe K, Taniguchi T, Faugeras C, Kossacki P, Basko DM, Potemski M."",""Phys Rev Lett. 2019 Aug 30";"123(9):096803. doi: 10.1103/PhysRevLett.123.096803."",""Phys Rev Lett.  2019"",""PubMed"",""citation"",""PMID:31524465"",""pubmed"",""31524465"",""create date:2019/09/17 | first author:Molas MR"",";
"From plastic flow to brittle fracture: Role of microscopic friction in amorphous solids.,""/pubmed/31499880"",""Karimi K, Amitrano D, Weiss J."",""Phys Rev E. 2019 Jul";"100(1-1):012908. doi: 10.1103/PhysRevE.100.012908."",""Phys Rev E.  2019"",""PubMed"",""citation"",""PMID:31499880"",""pubmed"",""31499880"",""create date:2019/09/11 | first author:Karimi K"",";
"Magnetic Contrast at Spin-Flip Excitations: An Advanced X-Ray Spectroscopy Tool to Study Magnetic-Ordering.,""/pubmed/31495171"",""Elnaggar H, Wang RP, Lafuerza S, Paris E, Tseng Y, McNally D, Komarek A, Haverkort M, Sikora M, Schmitt T, de Groot FMF."",""ACS Appl Mater Interfaces. 2019 Oct 2";"11(39):36213-36220. doi: 10.1021/acsami.9b10196. Epub 2019 Sep 20."",""ACS Appl Mater Interfaces.  2019"",""PubMed"",""citation"",""PMID:31495171"",""pubmed"",""31495171"",""create date:2019/09/10 | first author:Elnaggar H"",";
"Nanosecond Optically Induced Phase Transformation in Compressively Strained BiFeO_{3} on LaAlO_{3}.,""/pubmed/31491252"",""Ahn Y, Pateras A, Marks SD, Xu H, Zhou T, Luo Z, Chen Z, Chen L, Zhang X, DiChiara AD, Wen H, Evans PG."",""Phys Rev Lett. 2019 Jul 26";"123(4):045703. doi: 10.1103/PhysRevLett.123.045703."",""Phys Rev Lett.  2019"",""PubMed"",""citation"",""PMID:31491252"",""pubmed"",""31491252"",""create date:2019/09/07 | first author:Ahn Y"",";
"Correlated Quantum Tunneling of Monopoles in Spin Ice.,""/pubmed/31491145"",""Tomasello B, Castelnovo C, Moessner R, Quintanilla J."",""Phys Rev Lett. 2019 Aug 9";"123(6):067204. doi: 10.1103/PhysRevLett.123.067204."",""Phys Rev Lett.  2019"",""PubMed"",""citation"",""PMID:31491145"",""pubmed"",""31491145"",""create date:2019/09/07 | first author:Tomasello B"",";
